No,Prefecture,City,latitude,longitude
317,山形県,,38.2404355,140.3636333
318,山形県,山形市,38.2554388,140.3396016
319,山形県,米沢市,37.9222401,140.1167811
320,山形県,鶴岡市,38.7271972,139.8267307
321,山形県,酒田市,38.9147858,139.8365708
322,山形県,新庄市,38.7650154,140.3016084
323,山形県,寒河江市,38.38096350000001,140.2759667
324,山形県,上山市,38.149562,140.2678268
325,山形県,村山市,38.4833438,140.3803719
326,山形県,長井市,38.1074936,140.0405238
327,山形県,天童市,38.3622648,140.3778858
328,山形県,東根市,38.4313543,140.3910903
329,山形県,尾花沢市,38.6006216,140.405691
330,山形県,南陽市,38.0551411,140.1483749
331,山形県,山辺町,38.2891143,140.2621778
332,山形県,中山町,38.33311380000001,140.2830341
333,山形県,河北町,38.426271,140.314284
334,山形県,西川町,38.42649919999999,140.1473472
335,山形県,朝日町,38.2992478,140.1459258
336,山形県,大江町,38.3806479,140.2070126
337,山形県,大石田町,38.5938634,140.3726799
338,山形県,金山町,38.8833565,140.3394562
339,山形県,最上町,38.7583866,140.5193536
340,山形県,舟形町,38.6914442,140.3197762
341,山形県,真室川町,38.8578593,140.2523007
342,山形県,大蔵村,38.7041824,140.2303736
343,山形県,鮭川村,38.7964574,140.2220522
344,山形県,戸沢村,38.7374733,140.1438036
345,山形県,高畠町,38.0027363,140.1891601
346,山形県,川西町,38.0044794,140.0457896
347,山形県,小国町,38.0616273,139.7433643
348,山形県,白鷹町,38.183095,140.0984377
349,山形県,飯豊町,38.0458265,139.9875295
350,山形県,三川町,38.7944865,139.8496959
351,山形県,庄内町,38.8499147,139.9047449
352,山形県,遊佐町,39.0146158,139.9073521
353,福島県,,37.7502986,140.4675514
354,福島県,福島市,37.7608337,140.4747281
355,福島県,会津若松市,37.4947611,139.9298096
356,福島県,郡山市,37.400529,140.3597421
357,福島県,いわき市,37.0504195,140.8876817
358,福島県,白河市,37.126362,140.2109427
359,福島県,須賀川市,37.2928933,140.3569753
360,福島県,喜多方市,37.651355,139.8746088
361,福島県,相馬市,37.7973436,140.9188975
362,福島県,二本松市,37.5848581,140.4311291
363,福島県,田村市,37.4405496,140.5764222
364,福島県,南相馬市,37.6421608,140.9572757
365,福島県,伊達市,37.8191383,140.5629082
366,福島県,本宮市,37.5131313,140.3938904
367,福島県,桑折町,37.8495365,140.5163522
368,福島県,国見町,37.8768204,140.5491845
369,福島県,川俣町,37.6650303,140.5982412
370,福島県,大玉村,37.534392,140.3711893
371,福島県,鏡石町,37.25283,140.3434083
372,福島県,天栄村,37.2556061,140.2470738
373,福島県,下郷町,37.25557999999999,139.8721284
374,福島県,檜枝岐村,37.0241455,139.3889446
375,福島県,只見町,37.3488006,139.3160908
376,福島県,南会津町,37.2003948,139.7731988
377,福島県,北塩原村,37.6557147,139.9373744
378,福島県,西会津町,37.5887979,139.6474946
379,福島県,磐梯町,37.5621154,139.9887799
380,福島県,猪苗代町,37.5577684,140.1047605
381,福島県,会津坂下町,37.5614809,139.8216425
382,福島県,湯川村,37.565299,139.8867779
383,福島県,柳津町,37.5261598,139.7195424
384,福島県,三島町,37.4703688,139.6444466
385,福島県,金山町,37.453851,139.524298
386,福島県,昭和村,37.3354164,139.6106602
387,福島県,会津美里町,37.4598538,139.8411779
388,福島県,西郷村,37.1416956,140.1553637
389,福島県,泉崎村,37.1537723,140.3032924
390,福島県,中島村,37.1487567,140.3502042
391,福島県,矢吹町,37.2012775,140.3386085
392,福島県,棚倉町,37.0299054,140.3796482
393,福島県,矢祭町,36.8714026,140.424783
394,福島県,塙町,36.9574372,140.4095729
395,福島県,鮫川村,37.0423273,140.5096693
396,福島県,石川町,37.1570775,140.4467761
397,福島県,玉川村,37.2107058,140.4090385
398,福島県,平田村,37.2217855,140.5758762
399,福島県,浅川町,37.0809947,140.4128094
400,福島県,古殿町,37.0890925,140.5556489
401,福島県,三春町,37.4410476,140.4925685
402,福島県,小野町,37.2868226,140.6262772
403,福島県,広野町,37.2145585,140.994458
404,福島県,楢葉町,37.2825,140.993611
405,福島県,富岡町,37.333056,141.016944
406,福島県,川内村,37.3376905,140.8093447
407,福島県,大熊町,37.404444,140.983611
408,福島県,双葉町,37.449167,141.0125
409,福島県,浪江町,37.483333,141.0
410,福島県,葛尾村,37.503611,140.764444
411,福島県,新地町,37.8763568,140.9195994
412,福島県,飯舘村,37.67919029999999,140.7352474
413,茨城県,,36.3418112,140.4467935
414,茨城県,水戸市,36.3665027,140.4709965
415,茨城県,日立市,36.5991539,140.6514693
416,茨城県,土浦市,36.0782972,140.2043331
417,茨城県,古河市,36.1846451,139.7025248
418,茨城県,石岡市,36.1909565,140.2885698
419,茨城県,結城市,36.3054165,139.8766414
420,茨城県,龍ケ崎市,35.911594,140.1822645
421,茨城県,下妻市,36.1845136,139.9673744
